output_folder degree_day_factor log_ksat log_recession_coef manning_coef
code__a__1 0.5 -0.5 -1 0.5
code__a__2 0.5 -0.5 -0.5 0.5
code__a__3 0.5 -0.5 0 0.5
code__a__4 0.5 -0.5 0.5 0.5
code__a__5 0.5 -0.5 1 0.5
code__a__6 0.5 -0.25 -1 0.5
code__a__7 0.5 -0.25 -0.5 0.5
code__a__8 0.5 -0.25 0 0.5
code__a__9 0.5 -0.25 0.5 0.5
code__a__10 0.5 -0.25 1 0.5
code__a__11 0.5 0 -1 0.5
code__a__12 0.5 0 -0.5 0.5
code__a__13 0.5 0 0 0.5
code__a__14 0.5 0 0.5 0.5
code__a__15 0.5 0 1 0.5
code__a__16 0.5 0.25 -1 0.5
code__a__17 0.5 0.25 -0.5 0.5
code__a__18 0.5 0.25 0 0.5
code__a__19 0.5 0.25 0.5 0.5
code__a__20 0.5 0.25 1 0.5
code__a__21 0.5 0.5 -1 0.5
code__a__22 0.5 0.5 -0.5 0.5
code__a__23 0.5 0.5 0 0.5
code__a__24 0.5 0.5 0.5 0.5
code__a__25 0.5 0.5 1 0.5
code__a__26 0.5 -0.5 -1 0.75
code__a__27 0.5 -0.5 -0.5 0.75
code__a__28 0.5 -0.5 0 0.75
code__a__29 0.5 -0.5 0.5 0.75
code__a__30 0.5 -0.5 1 0.75
code__a__31 0.5 -0.25 -1 0.75
code__a__32 0.5 -0.25 -0.5 0.75
code__a__33 0.5 -0.25 0 0.75
code__a__34 0.5 -0.25 0.5 0.75
code__a__35 0.5 -0.25 1 0.75
code__a__36 0.5 0 -1 0.75
code__a__37 0.5 0 -0.5 0.75
code__a__38 0.5 0 0 0.75
code__a__39 0.5 0 0.5 0.75
code__a__40 0.5 0 1 0.75
code__a__41 0.5 0.25 -1 0.75
code__a__42 0.5 0.25 -0.5 0.75
code__a__43 0.5 0.25 0 0.75
code__a__44 0.5 0.25 0.5 0.75
code__a__45 0.5 0.25 1 0.75
code__a__46 0.5 0.5 -1 0.75
code__a__47 0.5 0.5 -0.5 0.75
code__a__48 0.5 0.5 0 0.75
code__a__49 0.5 0.5 0.5 0.75
code__a__50 0.5 0.5 1 0.75
code__a__51 0.5 -0.5 -1 1
code__a__52 0.5 -0.5 -0.5 1
code__a__53 0.5 -0.5 0 1
code__a__54 0.5 -0.5 0.5 1
code__a__55 0.5 -0.5 1 1
code__a__56 0.5 -0.25 -1 1
code__a__57 0.5 -0.25 -0.5 1
code__a__58 0.5 -0.25 0 1
code__a__59 0.5 -0.25 0.5 1
code__a__60 0.5 -0.25 1 1
code__a__61 0.5 0 -1 1
code__a__62 0.5 0 -0.5 1
code__a__63 0.5 0 0 1
code__a__64 0.5 0 0.5 1
code__a__65 0.5 0 1 1
code__a__66 0.5 0.25 -1 1
code__a__67 0.5 0.25 -0.5 1
code__a__68 0.5 0.25 0 1
code__a__69 0.5 0.25 0.5 1
code__a__70 0.5 0.25 1 1
code__a__71 0.5 0.5 -1 1
code__a__72 0.5 0.5 -0.5 1
code__a__73 0.5 0.5 0 1
code__a__74 0.5 0.5 0.5 1
code__a__75 0.5 0.5 1 1
code__a__76 0.5 -0.5 -1 1.25
code__a__77 0.5 -0.5 -0.5 1.25
code__a__78 0.5 -0.5 0 1.25
code__a__79 0.5 -0.5 0.5 1.25
code__a__80 0.5 -0.5 1 1.25
code__a__81 0.5 -0.25 -1 1.25
code__a__82 0.5 -0.25 -0.5 1.25
code__a__83 0.5 -0.25 0 1.25
code__a__84 0.5 -0.25 0.5 1.25
code__a__85 0.5 -0.25 1 1.25
code__a__86 0.5 0 -1 1.25
code__a__87 0.5 0 -0.5 1.25
code__a__88 0.5 0 0 1.25
code__a__89 0.5 0 0.5 1.25
code__a__90 0.5 0 1 1.25
code__a__91 0.5 0.25 -1 1.25
code__a__92 0.5 0.25 -0.5 1.25
code__a__93 0.5 0.25 0 1.25
code__a__94 0.5 0.25 0.5 1.25
code__a__95 0.5 0.25 1 1.25
code__a__96 0.5 0.5 -1 1.25
code__a__97 0.5 0.5 -0.5 1.25
code__a__98 0.5 0.5 0 1.25
code__a__99 0.5 0.5 0.5 1.25
code__a__100 0.5 0.5 1 1.25
code__a__101 0.5 -0.5 -1 1.5
code__a__102 0.5 -0.5 -0.5 1.5
code__a__103 0.5 -0.5 0 1.5
code__a__104 0.5 -0.5 0.5 1.5
code__a__105 0.5 -0.5 1 1.5
code__a__106 0.5 -0.25 -1 1.5
code__a__107 0.5 -0.25 -0.5 1.5
code__a__108 0.5 -0.25 0 1.5
code__a__109 0.5 -0.25 0.5 1.5
code__a__110 0.5 -0.25 1 1.5
code__a__111 0.5 0 -1 1.5
code__a__112 0.5 0 -0.5 1.5
code__a__113 0.5 0 0 1.5
code__a__114 0.5 0 0.5 1.5
code__a__115 0.5 0 1 1.5
code__a__116 0.5 0.25 -1 1.5
code__a__117 0.5 0.25 -0.5 1.5
code__a__118 0.5 0.25 0 1.5
code__a__119 0.5 0.25 0.5 1.5
code__a__120 0.5 0.25 1 1.5
code__a__121 0.5 0.5 -1 1.5
code__a__122 0.5 0.5 -0.5 1.5
code__a__123 0.5 0.5 0 1.5
code__a__124 0.5 0.5 0.5 1.5
code__a__125 0.5 0.5 1 1.5
code__a__126 0.75 -0.5 -1 0.5
code__a__127 0.75 -0.5 -0.5 0.5
code__a__128 0.75 -0.5 0 0.5
code__a__129 0.75 -0.5 0.5 0.5
code__a__130 0.75 -0.5 1 0.5
code__a__131 0.75 -0.25 -1 0.5
code__a__132 0.75 -0.25 -0.5 0.5
code__a__133 0.75 -0.25 0 0.5
code__a__134 0.75 -0.25 0.5 0.5
code__a__135 0.75 -0.25 1 0.5
code__a__136 0.75 0 -1 0.5
code__a__137 0.75 0 -0.5 0.5
code__a__138 0.75 0 0 0.5
code__a__139 0.75 0 0.5 0.5
code__a__140 0.75 0 1 0.5
code__a__141 0.75 0.25 -1 0.5
code__a__142 0.75 0.25 -0.5 0.5
code__a__143 0.75 0.25 0 0.5
code__a__144 0.75 0.25 0.5 0.5
code__a__145 0.75 0.25 1 0.5
code__a__146 0.75 0.5 -1 0.5
code__a__147 0.75 0.5 -0.5 0.5
code__a__148 0.75 0.5 0 0.5
code__a__149 0.75 0.5 0.5 0.5
code__a__150 0.75 0.5 1 0.5
code__a__151 0.75 -0.5 -1 0.75
code__a__152 0.75 -0.5 -0.5 0.75
code__a__153 0.75 -0.5 0 0.75
code__a__154 0.75 -0.5 0.5 0.75
code__a__155 0.75 -0.5 1 0.75
code__a__156 0.75 -0.25 -1 0.75
code__a__157 0.75 -0.25 -0.5 0.75
code__a__158 0.75 -0.25 0 0.75
code__a__159 0.75 -0.25 0.5 0.75
code__a__160 0.75 -0.25 1 0.75
code__a__161 0.75 0 -1 0.75
code__a__162 0.75 0 -0.5 0.75
code__a__163 0.75 0 0 0.75
code__a__164 0.75 0 0.5 0.75
code__a__165 0.75 0 1 0.75
code__a__166 0.75 0.25 -1 0.75
code__a__167 0.75 0.25 -0.5 0.75
code__a__168 0.75 0.25 0 0.75
code__a__169 0.75 0.25 0.5 0.75
code__a__170 0.75 0.25 1 0.75
code__a__171 0.75 0.5 -1 0.75
code__a__172 0.75 0.5 -0.5 0.75
code__a__173 0.75 0.5 0 0.75
code__a__174 0.75 0.5 0.5 0.75
code__a__175 0.75 0.5 1 0.75
code__a__176 0.75 -0.5 -1 1
code__a__177 0.75 -0.5 -0.5 1
code__a__178 0.75 -0.5 0 1
code__a__179 0.75 -0.5 0.5 1
code__a__180 0.75 -0.5 1 1
code__a__181 0.75 -0.25 -1 1
code__a__182 0.75 -0.25 -0.5 1
code__a__183 0.75 -0.25 0 1
code__a__184 0.75 -0.25 0.5 1
code__a__185 0.75 -0.25 1 1
code__a__186 0.75 0 -1 1
code__a__187 0.75 0 -0.5 1
code__a__188 0.75 0 0 1
code__a__189 0.75 0 0.5 1
code__a__190 0.75 0 1 1
code__a__191 0.75 0.25 -1 1
code__a__192 0.75 0.25 -0.5 1
code__a__193 0.75 0.25 0 1
code__a__194 0.75 0.25 0.5 1
code__a__195 0.75 0.25 1 1
code__a__196 0.75 0.5 -1 1
code__a__197 0.75 0.5 -0.5 1
code__a__198 0.75 0.5 0 1
code__a__199 0.75 0.5 0.5 1
code__a__200 0.75 0.5 1 1
code__a__201 0.75 -0.5 -1 1.25
code__a__202 0.75 -0.5 -0.5 1.25
code__a__203 0.75 -0.5 0 1.25
